251	20060616	000024018	1008
252	20060616	000024028	4006
253	20060616	000031830	4310
254	20060616	000031830	8c01
255	20060616	000034453	84cc
256	20060616	000034463	1110
257	20060616	000045860	1841
258	20060616	000045860	0464
259	20060616	000045990	a226
25A	20060616	000046000	2080
25B	20060616	000106700	0414
25C	20060616	000106700	10a0
25D	20060616	000117055	1611
25E	20060616	000117065	0881
25F	20060616	000125056	0081
260	20060616	000125066	1083
261	20060616	000127530	6090
262	20060616	000127530	4638
263	20060616	000132176	1021
264	20060616	000132176	01ac
265	20060616	000138115	0120
266	20060616	000138125	8210
267	20060616	000138325	0830
268	20060616	000138325	0446
269	20060616	000154398	3022
26A	20060616	000154398	2408
26B	20060616	000205484	2060
26C	20060616	000205484	4083
26D	20060616	000206426	9c22
26E	20060616	000206426	0440
26F	20060616	000216731	0430
270	20060616	000216741	8408
271	20060616	000242608	1250
272	20060616	000242618	4206
273	20060616	000259562	649b
274	20060616	000259572	00ff
275	20060616	000259672	649b
276	20060616	000259682	00ff
277	20060616	000259782	649b
278	20060616	000259792	00ff
279	20060616	000259893	649b
27A	20060616	000259903	00ff
27B	20060616	000300003	649b
27C	20060616	000300013	00ff
27D	20060616	000301875	0881
27E	20060616	000301875	4208
27F	20060616	000307253	f082
280	20060616	000307253	0100
281	20060616	000317117	0485
282	20060616	000317117	0851
283	20060616	000322695	0988
284	20060616	000322695	40c2
285	20060616	000324047	8204
286	20060616	000324047	1330
287	20060616	000324188	3248
288	20060616	000324198	840c
289	20060616	000330557	0484
28A	20060616	000330557	6021
28B	20060616	000330687	3091
28C	20060616	000330697	9809
28D	20060616	000340301	0423
28E	20060616	000340311	0c18
28F	20060616	000358367	0321
290	20060616	000358377	0203
291	20060616	000400530	649b
292	20060616	000400540	20df
293	20060616	000400640	649b
294	20060616	000400650	20df
295	20060616	000400750	649b
296	20060616	000400750	20df
297	20060616	000400860	649b
298	20060616	000400860	20df
299	20060616	000400970	649b
29A	20060616	000400970	20df
29B	20060616	000409673	0842
29C	20060616	000409673	0410
29D	20060616	000415141	4309
29E	20060616	000415141	8442
29F	20060616	000419717	bdb2
2A0	20060616	000419717	04fb
2A1	20060616	000419838	bdb2
2A2	20060616	000419848	04fb
2A3	20060616	000419958	bdb2
2A4	20060616	000419968	04fb
2A5	20060616	000420088	bdb2
2A6	20060616	000420088	04fb
2A7	20060616	000420208	bdb2
2A8	20060616	000420208	04fb
2A9	20060616	000423643	649b
2AA	20060616	000423653	00ff
2AB	20060616	000423753	649b
2AC	20060616	000423763	00ff
2AD	20060616	000423863	649b
2AE	20060616	000423873	00ff
2AF	20060616	000423974	649b
2B0	20060616	000423984	00ff
2B1	20060616	000424084	649b
2B2	20060616	000424094	00ff
2B3	20060616	000427288	0610
2B4	20060616	000427288	4302
2B5	20060616	000432486	0484
2B6	20060616	000432496	8021
2B7	20060616	000449280	2080
2B8	20060616	000449280	308e
2B9	20060616	000454067	608c
2BA	20060616	000454067	1804
2BB	20060616	000501297	0440
2BC	20060616	000501297	8180
2BD	20060616	000508347	008c
2BE	20060616	000508347	5102
2BF	20060616	000508548	4210
2C0	20060616	000508548	c201
2C1	20060616	000520325	4190
2C2	20060616	000520325	8981
2C3	20060616	000523179	649b
2C4	20060616	000523179	20df
2C5	20060616	000523289	649b
2C6	20060616	000523289	20df
2C7	20060616	000523399	649b
2C8	20060616	000523399	20df
2C9	20060616	000523509	649b
2CA	20060616	000523509	20df
2CB	20060616	000523619	649b
2CC	20060616	000523619	20df
2CD	20060616	000525943	8104
2CE	20060616	000525953	1210
2CF	20060616	000527735	0842
2D0	20060616	000527745	0430
2D1	20060616	000528366	041a
2D2	20060616	000528376	1891
2D3	20060616	000530980	10a0
2D4	20060616	000530980	6081
2D5	20060616	000536308	0511
2D6	20060616	000536308	1201
2D7	20060616	000544059	1042
2D8	20060616	000544069	1082
2D9	20060616	000601824	3104
2DA	20060616	000601834	1100
2DB	20060616	000604648	1881
2DC	20060616	000604658	0408
2DD	20060616	000632749	1044
2DE	20060616	000632759	0080
2DF	20060616	000638888	9088
2E0	20060616	000638888	1086
2E1	20060616	000639799	0810
2E2	20060616	000639809	1041
2E3	20060616	000655531	8111
2E4	20060616	000655541	0841
2E5	20060616	000655732	3441
2E6	20060616	000655732	8224
2E7	20060616	000705456	8088
2E8	20060616	000705456	9042
2E9	20060616	000712636	0020
2EA	20060616	000712636	8081
2EB	20060616	000714599	1160
2EC	20060616	000714609	0402
2ED	20060616	000715039	2430
2EE	20060616	000715050	4442
2EF	20060616	000719836	1108
2F0	20060616	000719836	6020
2F1	20060616	000727958	0921
2F2	20060616	000727968	0440
2F3	20060616	000732304	0410
2F4	20060616	000732314	5842
2F5	20060616	000736370	3088
2F6	20060616	000736370	2610
2F7	20060616	000742519	1221
2F8	20060616	000742519	0310
2F9	20060616	000750771	8821
2FA	20060616	000750771	0108
2FB	20060616	000752483	0811
2FC	20060616	000752483	0081
2FD	20060616	000808657	2088
2FE	20060616	000808657	3011
2FF	20060616	000827514	0108
300	20060616	000827514	2191
301	20060616	000828095	8208
302	20060616	000828095	4102
303	20060616	000828265	0498
304	20060616	000828275	0c22
305	20060616	000836917	0844
306	20060616	000836917	6040
307	20060616	000838109	0040
308	20060616	000838119	8103
309	20060616	000848614	3102
30A	20060616	000848624	142c
30B	20060616	000901513	1041
30C	20060616	000901513	1010
30D	20060616	000902724	0284
30E	20060616	000902724	0821
30F	20060616	000912889	0202
310	20060616	000912889	1024
311	20060616	000929393	0087
312	20060616	000929403	0821
313	20060616	000952876	0081
314	20060616	000952876	0110
315	20060616	001015189	0248
316	20060616	001015199	4118
317	20060616	001029289	1228
318	20060616	001029299	1020
319	20060616	001048186	08c4
31A	20060616	001048196	0480
31B	20060616	001049598	8244
31C	20060616	001049598	090c
31D	20060616	001056157	0881
31E	20060616	001056157	0210
31F	20060616	001058270	0201
320	20060616	001058270	0848
321	20060616	001058411	4887
322	20060616	001058421	2010
323	20060616	001058551	4c22
324	20060616	001058561	0210
325	20060616	001103939	1010
326	20060616	001103949	c404
327	20060616	001120713	0c4c
328	20060616	001120723	8822
329	20060616	001126561	0420
32A	20060616	001126571	9088
32B	20060616	001129115	0442
32C	20060616	001129115	0240
32D	20060616	001144277	190a
32E	20060616	001144277	0084
32F	20060616	001150135	649b
330	20060616	001150135	00ff
331	20060616	001150245	649b
332	20060616	001150245	00ff
333	20060616	001150355	649b
334	20060616	001150355	00ff
335	20060616	001150466	649b
336	20060616	001150466	00ff
337	20060616	001150576	649b
338	20060616	001150576	00ff
339	20060616	001151737	0210
33A	20060616	001151737	8246
